Trials,Best_Sol,Best_Fitness_BTW_Restarts,Total_space_searched,Avg_SIL,Avg_ACC
0,"[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[0.3705256687118936, 0.7]",29,0.35188790307438317,0.6875000000000001
1,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]","[0.39882230253917167, 0.65]",35,0.3892785718368931,0.6575
