Gen,Search_Space,AVG_sil_score,AVG_reg_acc
0,6,0.28432118511335036,0.715625
1,12,0.29731994878652857,0.70625
2,18,0.30973243975922193,0.71875
3,24,0.30113368046502365,0.7270833333333333
4,30,0.306020468542598,0.7078125000000001
